name,family,subsection,initial_release,official_website,repositories,overview
Ubuntu,Linux Distributions,,Oct 2004,https://ubuntu.com,Launchpad: https://code.launchpad.net/ubuntu; GitHub: https://github.com/ubuntu; Project Reference GitHub: https://github.com/canonical; Releases Portal: https://releases.ubuntu.com Official archive of stable Ubuntu Desktop and Server ISO releases.; CD Image Server: https://cdimage.ubuntu.com Source for official ISO images including development and alternative builds.; Checksum Reference: https://help.ubuntu.com/community/UbuntuHashes Documentation for verifying SHA256 checksums and signatures.; Verification Guide: https://ubuntu.com/tutorials/how-to-verify-ubuntu or https://discourse.ubuntu.com/t/how-to-verify-your-ubuntu-download/14010 Official tutorial explaining how to verify downloaded Ubuntu images.,"Ubuntu — ""the modern, open source operating system on Linux for the enterprise"" — is a Debian-based distribution developed by Canonical, released in Desktop, Server, and Core editions; for example, the same underlying system that runs on a developer's laptop also powers unmodified instances on AWS, Azure, and Google Cloud, and embedded devices through Ubuntu Core. Its official Flavours program lets Canonical-recognized teams swap in a different desktop on that same base — Kubuntu, Xubuntu, and Ubuntu MATE among them."
Kubuntu,Linux Distributions,,Apr 2005,https://kubuntu.org,GitHub: https://github.com/kubuntu-team,"Kubuntu — ""The Elegant Linux Distribution"" — is an official Ubuntu flavor that swaps the default GNOME desktop for KDE Plasma; for example, its built-in KRunner launcher can open files, convert currencies, or control music playback from one keyboard shortcut, all on top of the same package base and release schedule as standard Ubuntu."
Alpine Linux,Linux Distributions,,Aug 2005,https://alpinelinux.org,GitLab: https://gitlab.alpinelinux.org/alpine; GitHub: https://github.com/alpinelinux,"Alpine Linux — ""Small. Simple. Secure."" — is built around musl libc and BusyBox instead of glibc and GNU coreutils, keeping a minimal container image under 8 MB; for example, its compiled binaries use position-independent execution with stack-smashing protection by default, part of why it's a common base image for Docker containers."
Xubuntu,Linux Distributions,,Jun 2006,https://xubuntu.org,GitHub: https://github.com/Xubuntu,"Xubuntu — ""a light, stable and configurable desktop environment with conservative workflows"" — is an Ubuntu flavor built around Xfce; for example, it keeps a traditional panel-and-menu layout and modest default resource use, making it a common pick for older or lower-specification hardware that still needs a full desktop experience."
Linux Mint,Linux Distributions,,Aug 2006,https://linuxmint.com,GitHub: https://github.com/linuxmint,"Linux Mint — built to be ""a modern, elegant and comfortable operating system"" that's both powerful and easy to use — is developed on top of Ubuntu and Debian; for example, its own Cinnamon desktop, Update Manager, and Software Manager are all built in-house specifically to keep updates conservative and avoid the regressions that can come with more aggressive rolling releases."
Trisquel,Linux Distributions,,Jan 2007 (first public release); project development began in 2004,https://trisquel.info,GitLab: https://gitlab.trisquel.org/trisquel,"Trisquel — ""a 100% free operating system"" — is an Ubuntu-based, FSF-endorsed GNU/Linux distribution with every piece of proprietary software, firmware, and driver blob stripped out or replaced; for example, the project was born at the University of Vigo in Spain to serve as an educational operating system with Galician-language support, was officially presented in April 2005 with Richard Stallman's own backing, and ships MATE as its default desktop for a lighter, more traditional feel than stock Ubuntu."
Calculate Linux,Linux Distributions,,Jun 2007,https://www.calculate-linux.org,GitHub: https://github.com/calculatelinux; Source Repository: https://git.calculate-linux.org/calculate,"Calculate Linux is a Gentoo-based Linux distribution developed by Calculate Ltd., optimized for fast, ready-to-use deployment in organization environments. It layers the Calculate and Distros Portage overlays on top of Gentoo, offering Desktop, Directory Server, and Scratch editions with prebuilt binary packages while remaining fully Portage-compatible — ""a fast and functional user-friendly Linux distribution, based on Gentoo"", with a rolling-release model and a consistent, familiar desktop experience across KDE, Cinnamon, MATE, Xfce, or LXQt."
Void Linux,Linux Distributions,,2008,https://voidlinux.org,GitHub: https://github.com/void-linux,"Void Linux — ""a general purpose operating system, based on the monolithic Linux kernel"" — is not a fork of any existing distribution; its XBPS package manager and runit-based init system were both written from scratch, and software is available as prebuilt binaries or built directly from source via the xbps-src collection."
Tails,Linux Distributions,,Jun 2009,https://tails.net,GitLab: https://gitlab.tails.boum.org/tails/tails,"Tails — ""a portable operating system that protects against surveillance and censorship"" — boots from a USB stick and routes all its Internet traffic through the Tor network; for example, it leaves no trace on the computer once shut down, and journalists, activists, and domestic-violence survivors have used it specifically to keep sensitive work off a shared or monitored machine."
Mageia,Linux Distributions,,Jun 2011,https://www.mageia.org,Source Repository: https://gitweb.mageia.org/,"Mageia — ""Stable, secure operating system for desktop & server"" — is a non-profit, community-run continuation of Mandriva Linux, formed in 2010 by former Mandriva employees and contributors; for example, its own Mageia Control Center lets a user configure hardware, networking, and system settings from one graphical tool, across a choice of KDE Plasma, GNOME, Xfce, Cinnamon, MATE, LXQt, or Enlightenment desktops."
Manjaro,Linux Distributions,,Jul 2011,https://manjaro.org,GitLab: https://gitlab.manjaro.org; GitHub: https://github.com/manjaro,"Manjaro is ""a user-friendly Linux distribution based on the independently developed Arch operating system""; for example, it holds packages back in its own testing and stable branches before they reach users, and ships a graphical Manjaro Hardware Detection tool, both meant to smooth over the rough edges that come with using Arch directly."
Whonix,Linux Distributions,,Feb 2012,https://www.whonix.org,GitLab: https://gitlab.com/whonix; GitHub: https://github.com/Whonix,"Whonix is ""an operating system focused on anonymity, privacy and security"", built from two isolated virtual machines — a Gateway that solely runs Tor, and a Workstation that can only reach the network through it — so that even malware running as root on the Workstation cannot discover the machine's real IP address."
Kali Linux,Linux Distributions,,Mar 2013,https://www.kali.org,GitLab: https://gitlab.com/kalilinux,"Kali Linux, billed as ""The Most Advanced Penetration Testing Distribution, Ever"", is a Debian-based distribution built for security auditing; it ships with over 600 preinstalled tools covering tasks like vulnerability scanning, wireless attacks, and digital forensics, and is maintained by Offensive Security."
Parrot OS,Linux Distributions,,Apr 2013,https://www.parrotsec.org,GitHub: https://github.com/parrotsec; GitLab: https://gitlab.com/parrotsec,"Parrot OS is a Debian-based distribution ""designed with Security, Development, and Privacy in mind""; for example, its Security Edition ships a full penetration-testing toolkit, while the lighter Home Edition targets everyday desktop use with privacy tools like an anonymous browsing mode built in."
OpenMandriva,Linux Distributions,,Nov 2013,https://www.openmandriva.org,Build System (ABF): https://abf.openmandriva.org; GitHub: https://github.com/OpenMandrivaAssociation,"OpenMandriva — built around ""the best balance between the most modern features and stability"", from newbies to developers — is a community-run continuation of the Mandriva Linux lineage, sponsored by the OpenMandriva Association; for example, it builds most of its packages with the Clang/LLVM toolchain rather than GCC, and offers its own urpmi- and dnf-based package management alongside a Plasma-focused desktop."
Solus,Linux Distributions,,"May 2014 (as Evolve OS); renamed Solus in Apr 2015, with Solus 1.0 following in Dec 2015",https://getsol.us,GitHub: https://github.com/getsolus,"Solus is ""an operating system that is designed for home computing"", built entirely from scratch rather than forked from Debian, Arch, or anything else; for example, its own eopkg package manager follows what the project calls a ""stable-rolling"" model — delivering the newest software weekly, only after testing, rather than the bleeding-edge approach it says can sacrifice reliability for novelty — across a choice of Budgie, GNOME, Plasma, or Xfce desktops."
Ubuntu MATE,Linux Distributions,,Oct 2014,https://ubuntu-mate.org,GitHub: https://github.com/ubuntu-mate,"Ubuntu MATE is ""a stable, easy-to-use operating system with a configurable desktop environment"", aimed at people who prefer a traditional desktop layout; for example, its own MATE Tweak tool can switch the entire desktop between several preset layouts — Traditional, Redmond, Cupertino, or Netbook — in a couple of clicks, without reinstalling anything."
KDE neon,Linux Distributions,,"Jan, Jun 2016",https://neon.kde.org,GitLab: https://invent.kde.org/neon,"KDE neon — built to ""showcase KDE software exactly as the KDE developers intended it"", with no patches — is an Ubuntu-based platform built by the KDE project itself to deliver the newest Plasma desktop and KDE application releases on top of a stable Ubuntu LTS base; for example, a bug fixed upstream in KDE software can reach neon users within days, rather than waiting for the next Kubuntu release cycle."
Devuan,Linux Distributions,,"May 2017 (first stable release, Devuan 1.0 ""Jessie""); founding announcement in Nov 2014",https://www.devuan.org,Source Repository: https://git.devuan.org/explore/repos,"Devuan was founded in November 2014 by a self-described Veteran Unix Admins collective, announced on its own site as ""a fork of Debian without systemd"" built to preserve what the project calls Init Freedom, with early administrative support from the Dyne.org non-profit foundation; that founding announcement predates any installable release by nearly three years. For example, a user can pick sysvinit, runit, or OpenRC as the init system, and can still choose Xfce, Cinnamon, KDE Plasma, LXQt, or MATE as the desktop on top."
Artix Linux,Linux Distributions,,Jul 2017,https://artixlinux.org,Source Repository: https://gitea.artixlinux.org/explore/repos; GitHub (former home): https://github.com/artix-linux,"Artix Linux — ""Simple. Fast. Systemd-free."" — is a rolling-release, Arch-based distribution that swaps systemd for a real init system; for example, a user can pick OpenRC, runit, s6, or dinit as PID 1, on the reasoning that the first process a system starts should stay simple, secure, and stable rather than take on extra responsibilities."
Pop!_OS,Linux Distributions,,Oct 2017,https://system76.com/pop,GitHub: https://github.com/pop-os; Project Reference GitHub: https://github.com/system76,"Pop!_OS is billed by its maker, System76, as an operating system ""for STEM and creative professionals who use their computer as a tool to discover and create""; for example, it ships with automatic Nvidia and AMD GPU driver handling built in and a tiling window manager that can be toggled on or off, both aimed at people doing graphics, engineering, or development work rather than general browsing."
EndeavourOS (Antergos’ successor),Linux Distributions,,"May, Jun 2019",https://endeavouros.com,GitHub: https://github.com/endeavouros-team,"EndeavourOS picks up where Antergos left off, offering ""a lightweight Arch-based, terminal-centric system ready to personalise""; for example, its online installer lets a user add a desktop of their choice — Xfce, KDE Plasma, GNOME, and others — on top of an otherwise close-to-vanilla Arch base, without the manual setup Arch itself requires."
Ubuntu Cinnamon,Linux Distributions,,Dec 2019,https://ubuntucinnamon.org,GitHub: https://github.com/ubuntucinnamon,"Ubuntu Cinnamon — ""the most traditionally modern desktop you will ever love"" — is a community-developed, officially recognized Ubuntu flavor that pairs the Cinnamon desktop — originally built for Linux Mint — with Ubuntu's package base and release cycle; for example, someone who prefers Cinnamon's traditional panel-and-menu layout can get it with Ubuntu's hardware enablement and PPA ecosystem instead of switching distributions entirely."
GNOME OS,Linux Distributions,,Sep 2020 (introduced alongside GNOME 3.38.0),https://os.gnome.org,GitLab: https://gitlab.gnome.org/GNOME/gnome-build-meta,"GNOME OS — ""producing and distributing bootable VM images for debugging and testing features"" — is a nightly, image-based reference platform built by the GNOME project itself rather than a general daily-driver distribution; for example, it rebuilds and boots a fresh system image from every commit made across GNOME's many modules, using OSTree and Flatpak, so developers, designers, and testers can try tomorrow's GNOME before it ever reaches an actual distribution's repositories."
CachyOS,Linux Distributions,,Jul 2021,https://cachyos.org,GitHub: https://github.com/cachyos,"CachyOS is ""an Arch Linux based distribution, which improves the performance, throughput and interactivity"" — an Arch-based distribution built around performance, using a BORE scheduler and CPU-architecture-optimized packages (x86-64-v3/v4) rather than the generic builds most distributions ship; for example, its own installer can detect a system's CPU and automatically offer the fastest matching package repository, and it ships a dedicated handheld edition for devices like the Steam Deck."
Nobara Linux,Linux Distributions,,Jul 2022,https://nobaraproject.org,GitHub: https://github.com/Nobara-Project,"Nobara is a Fedora-based distribution — ""A Fedora-based desktop, tuned for gaming, streaming, and content creation"" — built by Linux kernel and GNOME contributor Thomas ""GloriousEggroll"" Crider specifically for gaming and content creation; for example, it patches in codecs, Wine/Proton tweaks, and GPU driver fixes that stock Fedora leaves out, so games and streaming software work without the user hunting down third-party repositories first."
TUXEDO OS,Linux Distributions,,Sep 2022,https://www.tuxedocomputers.com/en/TUXEDO-OS_1.tuxedo,GitLab: https://gitlab.com/tuxedocomputers/development/tuxedo_os; GitHub (former home): https://github.com/tuxedocomputers,"TUXEDO OS — ""simple by default, powerful when needed"" — is an Ubuntu-based distribution built by the hardware maker TUXEDO Computers, whose stated mission with it is making Linux accessible to the general public; it ships preinstalled on the company's own laptops and desktops, and its TUXEDO Control Center app lets a user manage fan curves, keyboard backlighting, and power profiles for their exact TUXEDO hardware from one graphical tool, something a generic Ubuntu install can't do out of the box."
PikaOS Linux,Linux Distributions,,"Dec 2022, Jan 2023",https://pika-os.com,Docs/Wiki: https://wiki.pika-os.com/en/home; Source Repository: https://git.pika-os.com; GitHub (former home): https://github.com/PikaOS-Linux,"PikaOS is a Debian/Ubuntu-based Linux distribution — ""a gaming focused Linux distribution focussing on ease of use and high compatability"" — built by taking the gaming know-how behind Nobara — patched kernels, Wine/Proton tuning, and driver fixes aimed at running Windows games well — and pairing it with Ubuntu's broad hardware support and package base, so it works well for gaming out of the box without much manual tinkering."
Vanilla OS,Linux Distributions,,"Oct, Nov, Dec 2022",https://vanillaos.org,GitHub: https://github.com/vanilla-os,"Vanilla OS is an immutable Ubuntu-based operating system — ""built with simplicity in mind"" — keeping the base system on an A/B root layout called ABRoot so every update is applied atomically and can be rolled back if something breaks. For example, its apx package manager uses OCI containers to install software from Ubuntu, Fedora, or Arch repositories side by side, without ever touching or destabilizing the immutable base."
blendOS,Linux Distributions,,Jan 2023,https://blendos.co,GitHub: https://github.com/blend-os; GitLab: https://git.blendos.co/blendOS,"blendOS is an Arch-based immutable Linux distribution — ""a seamless blend of all Linux distributions"" — letting users install and run software from Debian, Ubuntu, Fedora, Arch, and other ecosystems side by side, with GNOME as the primary desktop alongside optional KDE Plasma or Xfce sessions. For example, a user could pull one package with apt, another with dnf, and a third with pacman or yay, all from the same shell, or boot into a full standalone desktop session from a different distro entirely — while the base system itself stays read-only and is rebuilt atomically with each update."
Chimera Linux,Linux Distributions,,Jun 2023 (first Alpha); project development began mid-2021,https://chimera-linux.org,GitHub: https://github.com/chimera-linux,"Chimera Linux — ""born from unhappiness with the status quo"" — is an independent, general-purpose distribution built entirely from scratch since 2021 by former Void Linux developer Nina Kolesová (q66); for example, it swaps GNU coreutils for FreeBSD's userland, uses the LLVM toolchain and musl libc instead of GCC and glibc, and runs the Dinit init system rather than systemd, while still packaging modern software like GNOME, KDE Plasma, and Flatpak on top."
Vendefoul Wolf Linux,Linux Distributions,,"Aug, Sep 2023",https://vendefoul-wolf-linux.sourceforge.io,Source Repository: https://sourceforge.net/projects/vendefoul-wolf-linux,"Vendefoul Wolf Linux — ""a complete and free distribution available in all its versions and desktop environments"" — is a Devuan-based distribution built to work out of the box with low resource usage; for example, it ships several desktop editions and keeps telemetry out entirely, inheriting Devuan's systemd-free base rather than Debian's default one."
secureblue,Linux Distributions,,"Dec 2023, Q1 2024",https://secureblue.dev,GitHub: https://github.com/secureblue/secureblue; Project Reference GitHub: https://github.com/secureblue,"secureblue — ""increase defenses against the exploitation of both known and unknown vulnerabilities"" — is a hardened, Fedora Atomic-based image built around security best practices rather than convenience; for example, it enables hardened memory allocators and stricter kernel settings by default, and ships separate images built on top of Fedora Silverblue (GNOME) and Kinoite (KDE) for users who want that hardening without assembling it themselves."
aerynOS,Linux Distributions,,Feb-Mar 2025,https://aerynos.com,GitHub: https://github.com/aerynOS; GitHub Forums: https://github.com/orgs/aerynOS/discussions,"aerynOS (formerly Serpent OS) is ""an independent performance-oriented Linux-based operating system"" that diverges significantly from traditional distributions while still aiming for a familiar, comfortable environment. Built by industry veterans and produced entirely by tooling the project developed in-house, it uses atomic updates and cutting-edge packaging in what the team describes as the next evolution in Linux distributions — an engineering-led effort built from the ground up rather than a fork of an existing base."
KDE Linux,Linux Distributions,,2025 (currently Alpha),https://linux.kde.org,GitLab: https://invent.kde.org/kde-linux/kde-linux,"KDE Linux — ""A free Linux-based operating system built by KDE"" — is an image-based distribution built from Arch Linux packages that KDE itself calls a ""reference implementation"" of Plasma and KDE apps, currently in Alpha; for example, it deliberately ships without the pacman package manager, installing software instead through Flatpak via Discover, with atomic image updates, Btrfs snapshots, and one-click rollback if something breaks."
Ageless Linux,Linux Distributions,,Mar 2026,https://agelesslinux.org,GitHub: https://github.com/agelesslinux/agelesslinux,"Ageless Linux is a Debian-based distribution created as an act of political protest against age verification, alongside a related hardware project building computing devices resistant to age checks; as the project puts it, ""We don't know how old you are. We don't want to know."" It is a registered operating system under California's Digital Age Assurance Act (AB 1043, Chapter 675, Statutes of 2025, signed by Governor Newsom on October 13, 2025), and states it is in full, knowing, and intentional noncompliance with the age-verification requirements of Cal. Civ. Code § 1798.501(a). The project is run by John McCardle / FFwF Robotics LLC / Goblincorps as political commentary and civil disobedience, and is not affiliated with the Debian Project, Canonical, the Free Software Foundation, or the California State Legislature; it adds that no children were age-verified or harmed, no data was collected, and no privacy was violated in the making of the distribution — while noting that the California legislature disagrees that these things are compatible."
Slackware,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Jul 1993,https://www.slackware.com,Source Repository: https://git.slackbuilds.org/slackbuilds,"Slackware, the oldest still-maintained Linux distribution, is ""designed with the twin goals of ease of use and stability as top priorities""; for example, it ships with no graphical installer and no automatic dependency resolution by default, a deliberately conservative approach that leaves package management and system configuration almost entirely in the user's hands through plain text files."
antiX Linux,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Jul 2007,https://antixlinux.com,GitHub: https://github.com/antiX-Linux,"antiX is ""a fast, lightweight and easy to install systemd-free Linux live CD distribution"" based on Debian Stable; for example, it can boot and run entirely from a live USB on a machine with as little as 128 MB of RAM, without ever touching the hard drive, which is part of why it's a common pick for reviving very old PCs."
Tiny Core Linux,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Jan 2009,http://www.tinycorelinux.net,,"Tiny Core Linux is a minimal system built on BusyBox and FLTK that, in the project's own words, ""represents only the core needed to boot into a very minimal X desktop"" — everything beyond that arrives as user-selected extensions from an online repository; for example, it ships in three sizes: a text-only Core at roughly 17 MB, the FLWM-based TinyCore desktop at about 24 MB, and CorePlus bundling optional extras, and by default it decompresses entirely into RAM at boot rather than installing to disk, which is much of the reason it runs so quickly on hardware other distributions have long abandoned."
Zorin OS,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),2009,https://zorin.com/os/,GitHub: https://github.com/zorinos,"Zorin OS is ""designed to make your computer faster, more secure and easier to use"", built on Ubuntu with a strong focus on easing the switch from Windows or macOS; for example, its built-in Zorin Appearance tool can switch the entire desktop layout to resemble Windows 11, Windows 7, or macOS with one click, easing the transition for new switchers."
Parabola GNU/Linux-libre,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Oct 2009,https://www.parabola.nu,Source Repository: https://git.parabola.nu; GitLab: https://gitlab.com/parabola,"Parabola calls itself ""a fully free, simple, and lightweight operating system"", an Arch- and Debian-based distribution built entirely from source under the GNU Free System Distribution Guidelines (FSDG); for example, its own build servers compile every package from clean chroots with networking disabled, specifically to strip out and replace any software or artwork that falls outside those guidelines, and the project earned Free Software Foundation recognition as a fully free distribution on May 20, 2011."
Peppermint OS,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),May 2010,https://peppermintos.com,GitHub: https://github.com/peppermintos,"Peppermint OS — which, by its own account, has ""always been a minimalistic distro with signature custom tools"" — started out blending a lightweight desktop with cloud-app integration on an Ubuntu base, and is now built on Debian/Devuan Stable instead; for example, its signature Ice tool turns any website into what looks and behaves like a standalone desktop app, a feature it kept even after moving away from its original Ubuntu foundation."
SparkyLinux,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Oct 2011,https://sparkylinux.org,GitHub: https://github.com/sparkylinux,"SparkyLinux — ""a fast, lightweight and fully customizable operating system"" — is a Debian-based distribution offered in several editions built around different needs; for example, its GameOver edition ships preinstalled with gaming platforms and emulators, while its MinimalGUI and MinimalCLI editions strip things down to a bare Openbox desktop or command line for building a system up from scratch."
Raspberry Pi OS,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Jul 2012 (as Raspbian); renamed Raspberry Pi OS in May 2020,https://www.raspberrypi.com/software/,GitHub: https://github.com/raspberrypi,"Raspberry Pi OS is ""a free operating system based on Debian, optimised for the Raspberry Pi hardware"", maintained directly by Raspberry Pi itself; for example, it ships with over 35,000 precompiled packages and, unlike most desktop distributions, still supports the original 2012 Raspberry Pi Model B alongside the newest boards."
Bedrock Linux,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Aug 2012,https://bedrocklinux.org,GitHub: https://github.com/bedrocklinux,"Bedrock Linux is ""a meta Linux distribution which allows users to mix-and-match components"" from otherwise incompatible distributions into one broadly unified system — for example, running Debian's stable coreutils alongside Arch's cutting-edge kernel, Void's runit init system, a PDF reader kept patched through Gentoo's Portage, a font pulled from Arch's AUR, games built against Ubuntu's libraries, and business software built against CentOS's libraries, all side by side as though packaged for one single distribution. It is aimed at advanced users seeking maximum flexibility through cross-distro compatibility layers."
BlackArch,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Aug 2012,https://blackarch.org,GitHub: https://github.com/BlackArch,"BlackArch is ""an Arch Linux-based penetration testing distribution for penetration testers and security researchers"", with a dedicated repository holding well over 2,800 security tools at last count; for example, it can be installed as a full live system or layered on top of an existing Arch installation, adding just the BlackArch tool groups a user actually needs."
MX Linux,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Dec 2013,https://mxlinux.org,GitHub: https://github.com/MX-Linux,"MX Linux is ""a cooperative venture between the antiX and former MEPIS communities"", built on a Debian Stable base with Xfce as its main desktop; for example, its own MX Tools panel bundles system snapshot, USB-installer, and driver-management utilities into one place, drawing on ideas from both antiX and the older MEPIS project."
Archman Linux,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Mar 2017,https://archman.org,GitLab: https://gitlab.com/Archman-OS; GitHub: https://github.com/archman-os,"Archman Linux — ""a fast, elegant, and user-friendly desktop experience"" — is an independent, Arch Linux-based distribution built by a community project; for example, its primary edition ships a carefully configured Xfce desktop installed through the Calamares installer, with KDE Plasma and MATE offered as alternative editions and pamac providing a graphical front end for package management."
RebornOS,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),2018,https://rebornos.org,GitHub: https://github.com/rebornos-team,"RebornOS — ""whose goal is to make Arch Linux more approachable to beginners"" — is an Arch Linux-based distribution built around a graphical installer called Reborn Creator; for example, a user can pick from a long list of desktop environments — GNOME, KDE Plasma, Xfce, Cinnamon, and others — directly during setup, arriving at a ready-to-use Arch system without touching the command line."
Archcraft,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),Q4 2020,https://archcraft.io,GitHub: https://github.com/archcraft-os,"Archcraft — ""a fast, friendly, open-source operating system, for newbies, geeks & DIY enthusiasts"" — is an Arch-based distribution built around minimalist window managers rather than a full desktop environment; for example, it ships with several pre-configured Openbox themes and layouts that a user can switch between instantly from a menu, getting a polished, uncluttered look without hand-tuning dotfiles."
Asahi Linux,Linux Distributions,Additional Linux Distributions (Specialized & Niche Use Cases),"Q4 2020, Q1 2021",https://asahilinux.org,GitHub: https://github.com/asahilinux,"Asahi Linux ""aims to bring you a polished Linux experience on Apple Silicon Macs"", reverse-engineering largely undocumented Apple hardware to write the needed drivers from scratch; for example, the project's own Fedora Asahi Remix now supports OpenGL and Vulkan graphics on M1 and M2 Macs, hardware Apple itself never offered official Linux drivers for."
